"Subdivision";"Division";"Groupe";"Classe";"Taille Du Menage";"Dépenses";"Autoconsommation";"Ménages";"Dépenses moyennes par ménage";"Dépenses moyennes par ménage répondant";"Dépenses moyennes mensuelles par ménage";"Dépenses moyennes mensuelles par ménage répondant";"Dépenses moyennes par UC";"Dépenses moyennes par UC répondant";"Dépenses moyennes mensuelles par UC";"Dépenses moyennes mensuelles par UC répondant"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Pains et céréales";"1";"305879282.00074935";"27741238.348962802";"5092.562307926748";"58524.314608041263";"60063.925290543375";"4877.0262173367719";"5005.3271075452813";"58524.314608041263";"60063.925290543375";"4877.0262173367719";"5005.3271075452813"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Pains et céréales";"2";"989619202.33538651";"45228186.933569647";"11535.5332114089";"84941.757317832584";"85788.769725584163";"7078.4797764860486";"7149.0641437986797";"50889.358867745614";"51406.287072442618";"4240.7799056454678";"4283.8572560368839"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Pains et céréales";"3";"1273492350.8492641";"54413758.482163548";"10831.746573893168";"117570.36062112593";"117570.36062112584";"9797.5300517604937";"9797.5300517604883";"52044.689301138322";"52044.689301138278";"4337.0574417615271";"4337.0574417615235"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Pains et céréales";"4";"1470767597.5167608";"58262312.406220317";"10356.237540989167";"141622.98153119363";"142017.56107810189";"11801.91512759947";"11834.796756508493";"49956.566507327923";"50098.956032697883";"4163.0472089439936";"4174.9130027248229"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Pains et céréales";"5";"865768643.98845279";"29901661.71608986";"6113.4166399637106";"141617.80473604245";"141617.80473604234";"11801.483728003537";"11801.483728003528";"41345.092459341176";"41345.092459341198";"3445.4243716117649";"3445.4243716117671"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Pains et céréales";"6 et +";"1817024730.7001698";"60403541.673672199";"9577.5806710538491";"189716.46317652328";"189716.46317652339";"15809.705264710274";"15809.705264710283";"36371.956479706147";"36371.956479706139";"3030.9963733088452";"3030.9963733088452"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Viandes";"1";"373278542.03192496";"41657554.135293134";"4678.7523605417337";"71419.91012733517";"79781.641187075904";"5951.6591772779311";"6648.4700989229914";"71419.91012733517";"79781.641187075904";"5951.6591772779311";"6648.4700989229914"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Viandes";"2";"1446950515.858839";"144070918.37351424";"11114.033319556193";"124195.77073580326";"130191.30627517489";"10349.647561316939";"10849.275522931241";"74406.785854237169";"78051.128844488223";"6200.5654878530968";"6504.260737040684"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Viandes";"3";"1619992777.1162119";"191335740.04685125";"10490.668661488109";"149559.70083538909";"154422.26128667139";"12463.308402949091";"12868.521773889282";"66205.360950048605";"68288.689366424631";"5517.1134125040508";"5690.7241138687195"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Viandes";"4";"1852456711.8484864";"126578905.8387551";"10161.115482379713";"178376.54509958305";"182308.40059448322";"14864.71209163192";"15192.366716206934";"62921.142051030467";"64298.105238082178";"5243.4285042525389";"5358.1754365068482"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Viandes";"5";"1120890285.7981405";"53767343.995381154";"5948.8460923745288";"183349.2385372241";"188421.46332125535";"15279.103211435342";"15701.788610104613";"53528.518068759702";"54840.934366848058";"4460.7098390633082";"4570.0778639040045"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Viandes";"6 et +";"1959703675.5045788";"122326944.09972827";"9470.81323541243";"204613.6433418259";"206920.3168506193";"17051.136945152157";"17243.359737551607";"39228.005868201064";"39622.118030937665";"3269.0004890167547";"3301.8431692448048"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Produits de la mer";"1";"207320484.02032274";"413799603.24810809";"4110.6451827132687";"39666.920728115983";"50435.022923452365";"3305.5767273429988";"4202.9185769543637";"39666.920728115983";"50435.022923452365";"3305.5767273429988";"4202.9185769543637"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Produits de la mer";"2";"727680027.38120532";"930555734.54544461";"9124.8272779409217";"62458.792376888698";"79747.265917060868";"5204.8993647407242";"6645.6054930884056";"37419.615511606738";"47702.353731800671";"3118.3012926338947";"3975.1961443167224"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Produits de la mer";"3";"690656395.45558262";"1648956895.8945606";"9141.4995098578747";"63762.237303466194";"75551.762017905581";"5313.5197752888498";"6295.9801681587978";"28225.5307551388";"33434.27912477441";"2352.1275629282336";"2786.1899270645345"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Produits de la mer";"4";"624221159.96962845";"955300627.39455199";"8498.6536966589119";"60107.430948995672";"73449.417078263752";"5008.9525790829721";"6120.784756521979";"21202.497217068827";"25828.31601785808";"1766.874768089069";"2152.3596681548402"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Produits de la mer";"5";"326091137.62063605";"724420607.4068023";"5205.2013519033017";"53340.244387886501";"62647.170700015202";"4445.0203656572094";"5220.5975583346008";"15572.599364405678";"18124.764398293257";"1297.7166137004733";"1510.3970331911048"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Produits de la mer";"6 et +";"560535150.51528442";"1317424659.7367535";"8123.2128555077807";"58525.756113898315";"69004.119488907018";"4877.1463428248589";"5750.3432907422512";"11220.408701884462";"13260.317940596762";"935.03405849037176";"1105.0264950497301"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Laits, fromages et œufs";"1";"163026841.01254967";"11886289.921086408";"4035.5050441259195";"31192.15551496622";"40398.125942092804";"2599.3462929138514";"3366.5104951744001";"31192.15551496622";"40398.125942092804";"2599.3462929138514";"3366.5104951744001"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Laits, fromages et œufs";"2";"592426216.3190428";"22946262.770651124";"10338.974337185897";"50849.583129086917";"57300.288887291281";"4237.4652607572434";"4775.0240739409401";"30464.435465454018";"34285.547019445679";"2538.7029554545015";"2857.1289182871401"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Laits, fromages et œufs";"3";"629139064.75135374";"25537649.042799175";"10077.527258365204";"58082.882613567992";"62429.904541227101";"4840.2402177973327";"5202.4920451022581";"25711.459617607539";"27597.806528201832";"2142.6216348006283";"2299.8172106834863"
"Iles Du Vent";"Produits alimentaires et boissons non alcoolisées";"Produits alimentaires";"Laits, fromages et œufs";"4";"786862506.31864429";"31327362.720676638";"9776.4442900152317";"75768.472454863251";"80485.551083462298";"6314.039371238604";"6707.1292569551924";"26726.825635402354";"28339.447031648284";"2227.2354696168627";"2361.6205859706902"
