Date;SH;Pays;Poids;Valeur;DTE;CodeICSCH;ICSCH
01/11/2018;90069900;FRP;2;8000;260;2;Commerce
01/11/2018;89039999;NZP;69;685000;681;1;Industrie
01/11/2018;94016900;SGP;24;10459;204;3;Services
01/11/2018;94049000;FRP;1;4550;260;2;Commerce
01/11/2018;96081090;FRP;10;58340;650;2;Commerce
01/11/2018;96151100;FRP;6;33290;390;2;Commerce
01/11/2018;96151900;FRP;0;400;130;2;Commerce
01/11/2018;96159000;FRP;0;277;130;2;Commerce
01/11/2018;96170000;FRP;2;13500;130;2;Commerce
01/11/2018;97011000;FRP;14;99092;394;2;Commerce
01/11/2018;97011000;USP;4;3179000;260;6;Autre secteur
01/11/2018;97040000;FRP;64;2309852;85;3;Services
01/12/2018;3011900;HKP;1175;1395038;6009;6;Autre secteur
01/12/2018;3011900;NLP;818;1253501;4152;6;Autre secteur
01/12/2018;3011900;USP;754;1605898;4002;6;Autre secteur
01/12/2018;3023100;USP;11561;7420803;59676;1;Industrie
01/12/2018;3023100;USP;8726;5638510;44817;2;Commerce
01/12/2018;3023200;CLP;576;363600;3033;1;Industrie
01/12/2018;3023200;JPP;1080;1288525;5453;1;Industrie
01/12/2018;3023200;USP;17730;26434787;91095;1;Industrie
01/12/2018;3023200;USP;7168;10473892;36728;2;Commerce
01/12/2018;3023400;JPP;804;958817;4080;1;Industrie
01/12/2018;3023400;USP;27244;40288096;138411;1;Industrie
01/12/2018;3023400;USP;4239;6111785;22010;2;Commerce
01/12/2018;3024700;JPP;3032;1143753;15160;2;Commerce
01/12/2018;3024700;USP;1597;1310946;8697;1;Industrie
01/12/2018;3024700;USP;14812;13336755;74910;2;Commerce
01/12/2018;3028900;USP;7118;4835001;37659;1;Industrie
01/12/2018;3028900;USP;3724;2496194;19863;2;Commerce
01/12/2018;3038900;USP;1;1046;130;6;Autre secteur
01/12/2018;3044900;USP;269;326436;1678;1;Industrie
01/12/2018;3044900;USP;499;567490;2985;2;Commerce
01/12/2018;3045900;USP;194;190705;1049;1;Industrie
01/12/2018;3079111;DEP;235;1398548;1335;6;Autre secteur
01/12/2018;3079111;FRP;228;1169434;1302;6;Autre secteur
01/12/2018;3079111;USP;275;1439479;1616;6;Autre secteur
01/12/2018;3081920;HKP;235;2464595;1250;2;Commerce
01/12/2018;3081920;HKP;1100;9222001;5554;2;Commerce
01/12/2018;5080010;FRP;50;100;333;6;Autre secteur
01/12/2018;5080020;CNP;53200;3948121;170;6;Autre secteur
01/12/2018;5080020;CNP;38164;4502292;170;1;Industrie
01/12/2018;5080020;CNP;18130;3850286;85;2;Commerce
01/12/2018;5080020;IDP;18000;3466897;85;2;Commerce
01/12/2018;5080020;VNP;18000;3934088;85;2;Commerce
01/12/2018;5080090;FRP;3;27235;520;2;Commerce
01/12/2018;6021000;NCP;23;156370;196;6;Autre secteur
01/12/2018;6029000;NCP;41;95100;288;6;Autre secteur
01/12/2018;6049090;FRP;129;1930500;85;1;Industrie
01/12/2018;9012130;FRP;32;106375;913;2;Commerce
01/12/2018;9023090;FRP;1;4950;260;2;Commerce
01/12/2018;9024090;FRP;43;122930;839;2;Commerce
01/12/2018;9051000;BEP;11;775168;137;1;Industrie
01/12/2018;9051000;DEP;119;7775543;761;1;Industrie
01/12/2018;9051000;DEP;21;1254158;190;5;Hotellerie - Restauration
01/12/2018;9051000;FRP;309;19155806;1621;1;Industrie
01/12/2018;9051000;FRP;382;23765401;2153;2;Commerce
01/12/2018;9051000;FRP;1;36400;130;2;Commerce
01/12/2018;9051000;FRP;23;357700;549;2;Commerce
01/12/2018;9051000;NCP;10;100000;134;1;Industrie
01/12/2018;9051000;USP;52;3042915;343;1;Industrie
