"Mois";"Archipel";"Classe";"Chambres offertes";"Chambres vendues";"CMR";"RevPar";"RMC"
"janvier 2006";"Autres archipels";"Grand Tourisme";"2232";"535";"0.23969534050179211";"3173.1922043010754";"13238.439252336449"
"janvier 2006";"Autres archipels";"Luxe";"4123";"1619";"0.3926752364782925";"10697.717438758185";"27243.168004941323"
"janvier 2006";"Autres archipels";"Tourisme";"868";"163";"0.18778801843317972";"2609.7937788018435";"13897.552147239263"
"janvier 2006";"Îles Du Vent";"Grand Tourisme";"2290";"1034";"0.451528384279476";"5767.4222707423578";"12773.111218568665"
"janvier 2006";"Îles Du Vent";"Luxe";"41044";"22186";"0.54054185751876038";"9577.0354010330375";"17717.472324889572"
"janvier 2006";"Îles Du Vent";"Tourisme";"6758";"4931";"0.7296537437111571";"5787.982835158331";"7932.50618535794"
"janvier 2006";"Îles-Sous-Le-Vent";"Grand Tourisme";"10921";"4505";"0.41250801208680526";"3781.158959802216";"9166.2679245283016"
"janvier 2006";"Îles-Sous-Le-Vent";"Luxe";"17312";"8561";"0.49451247689463956";"23302.853223197781";"47122.88225674571"
"janvier 2006";"Îles-Sous-Le-Vent";"Tourisme";"434";"113";"0.26036866359447003";"5152.6958525345626";"19790"
"février 2006";"Autres archipels";"Grand Tourisme";"1878";"547";"0.29126730564430248";"3880.5607028753993";"13323.021937842779"
"février 2006";"Autres archipels";"Luxe";"2865";"1299";"0.45340314136125653";"11526.77277486911";"25422.789838337183"
"février 2006";"Autres archipels";"Tourisme";"784";"122";"0.15561224489795919";"5819.2997448979595";"37396.155737704918"
"février 2006";"Îles Du Vent";"Grand Tourisme";"2197";"1185";"0.53937187073281745";"6587.5020482476102";"12213.284388185653"
"février 2006";"Îles Du Vent";"Luxe";"37184";"23629";"0.63546148881239239";"11377.331459767642";"17904.04557958441"
"février 2006";"Îles Du Vent";"Tourisme";"6104";"3980";"0.65203145478374835";"5980.7287024901707";"9172.4542713567844"
