Mois;Nombre de touristes;Nombre de touristes CVS;Nombre de touristes cumul annuel
1995-01-01;12752;17632,9612426369;
1995-02-01;16878;17072,4039433223;
1995-03-01;15678;16511,8466440078;
1995-04-01;17539;15984,7813170743;
1995-05-01;14837;15457,7159901408;
1995-06-01;14097;14970,2188375813;
1995-07-01;19151;14482,7216850217;
1995-08-01;17182;14018,0943865189;
1995-09-01;11418;13553,4670880162;
1995-10-01;11535;13219,7719993884;
1995-11-01;10147;12886,0769107606;
1995-12-01;10915;12840,0979462416;172129
1996-01-01;10170;12794,1189817226;169547
1996-02-01;11350;12917,4038778097;164019
1996-03-01;12307;13040,6887738968;160648
1996-04-01;13175;13233,0016103492;156284
1996-05-01;13021;13425,3144468015;154468
1996-06-01;15497;13555,6037294208;155868
1996-07-01;17043;13685,8930120401;153760
1996-08-01;15505;13796,4635410332;152083
1996-09-01;16824;13907,0340700262;157489
1996-10-01;13392;14018,2940511923;159346
1996-11-01;12157;14129,5540323583;161356
1996-12-01;13333;14218,2351709925;163774
1997-01-01;11448;14306,9163096268;165052
1997-02-01;11764;14423,8324562382;165466
1997-03-01;15945;14540,7486028496;169104
1997-04-01;14205;14687,9518372767;170134
1997-05-01;13250;14835,1550717038;170363
1997-06-01;15979;14946,3303843674;170845
1997-07-01;17777;15057,5056970309;171579
1997-08-01;17855;15111,4766699863;173929
1997-09-01;16347;15165,4476429417;173452
1997-10-01;16998;15222,131904731;177058
1997-11-01;15010;15278,8161665203;179911
1997-12-01;13862;15346,3098279874;180440
1998-01-01;12398;15413,8034894545;181390
1998-02-01;13243;15469,8959058015;182869
1998-03-01;14411;15525,9883221484;181335
1998-04-01;14628;15584,2426154335;181758
1998-05-01;15735;15642,4969087187;184243
1998-06-01;15919;15721,9273269739;184183
1998-07-01;18856;15801,3577452291;185262
1998-08-01;18900;15878,5044496688;186307
1998-09-01;16853;15955,6511541084;186813
1998-10-01;17967;16037,3748448648;187782
1998-11-01;15269;16119,0985356212;188041
1998-12-01;14754;16237,940494632;188933
1999-01-01;14346;16356,7824536428;190881
1999-02-01;13168;16541,9363481059;190806
1999-03-01;15067;16727,090242569;191462
1999-04-01;15640;16952,519302622;192474
1999-05-01;16833;17177,948362675;193572
1999-06-01;17203;17420,4042832811;194856
1999-07-01;21844;17662,8602038872;197844
1999-08-01;21132;17978,5187735808;200076
1999-09-01;19043;18294,1773432745;202266
1999-10-01;21844;18716,2824110956;206143
1999-11-01;17025;19138,3874789167;207899
1999-12-01;17655;19586,0490225315;210800
